currentPrice,dirtyTicketInd,listingId,listingPrice,quantity,retrieveTime,row,score,seatNumbers,sectionId,sectionName,sellerSectionName,zoneId,zoneName,Event,Date
56.49,FALSE,1314789787,44.99,2,3/18/18 0:58,15,0,3;4,30198,Mezzanine Goal 220,UPPER:220,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
56.5,FALSE,1314789602,45,2,3/18/18 0:58,13,0,9;10,30193,Mezzanine Goal 217,UPPER:217,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
56.5,FALSE,1314789951,45,2,3/18/18 0:58,15,0,5;6,30197,Mezzanine Goal 219A,UPPER:219A,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
57.1,FALSE,1313651325,45.5,2,3/18/18 0:58,13,0,2;3,30193,Mezzanine Goal 217,UPPER:217,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
58.3,FALSE,1314790600,46.5,2,3/18/18 0:58,13,0,5;6,30196,Mezzanine Goal 219,UPPER:219,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
58.89,FALSE,1314008638,46.99,2,3/18/18 0:58,11,0,11;12,30193,Mezzanine Goal 217,UPPER:217,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
58.9,FALSE,1314471076,47,2,3/18/18 0:58,8,0,15;16,30199,Mezzanine Goal 221,UPPER:221,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
58.9,FALSE,1314718454,47,2,3/18/18 0:58,11,0,NA,30181,Mezzanine Goal 205,UPPER:205,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
58.9,FALSE,1314441109,47,2,3/18/18 0:58,13,0,NA,30186,Mezzanine Goal 208,UPPER:208,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
60.1,FALSE,1313588420,48,2,3/18/18 0:58,11,0,17;18,30195,Mezzanine Goal 218,UPPER:218,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
60.1,FALSE,1314632391,48,2,3/18/18 0:58,13,0,5;6,30195,Mezzanine Goal 218,UPPER:218,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
60.1,FALSE,1314733573,48,2,3/18/18 0:58,12,0,7;8,30197,Mezzanine Goal 219A,UPPER:219A,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
62.5,FALSE,1314411687,50,2,3/18/18 0:58,15,0,7;8,30185,Mezzanine Goal 207A,UPPER:207A,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
62.5,FALSE,1314410904,50,2,3/18/18 0:58,10,0,1;2,30191,Mezzanine Goal 216,UPPER:216,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
62.5,FALSE,1314762461,50,2,3/18/18 0:58,10,0,NA,30184,Mezzanine Goal 207,UPPER:207,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
62.5,FALSE,1313692242,50,2,3/18/18 0:58,13,0,19;20,30178,Mezzanine Center 224,UPPER:224,7746,Mezzanine Center,Washington Capitals 3/18/2018,3/18/18
62.5,FALSE,1314441096,50,2,3/18/18 0:58,13,0,NA,30187,Mezzanine Goal 209,UPPER:209,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
63.7,FALSE,1314460464,51,2,3/18/18 0:58,6,0,1;2,30193,Mezzanine Goal 217,UPPER:217,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
64.9,FALSE,1280038704,52,2,3/18/18 0:58,6,0,7;8,30188,Mezzanine Goal 209A,UPPER:209A,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
