sort,Event,Eventid
SI08,Golden State 11/18/2018,103138406
SI09,Utah Jazz 11/20/2017,103138572
SI10,Portland Trail Blazers 11/22/2017,103138558
SI11,Orlando Magic 11/25/2017,103138532
SI12,Cleveland Cavaliers 11/27/2017,103138334
SI13,Washington Wizards 11/29/2017,103138584
SI14,Detroit Pistons 12/2/2017,103138390
SI15,Phoenix Suns 12/4/2017,103138550
SI16,Los Angeles Lakers 12/7/2017,103138444
SI17,Oklahoma City Thunder 12/15/2017,103138524
SI18,Sacramento Kings 12/19/2017,103138562
SI19,Toronto Raptors 12/21/2017,103138578
SI20,San Antonio Spurs 1/3/2018,103138568
SI21,Detroit Pistons 1/5/2018,103138396
SI22,Toronto Raptors 1/15/2018,103138580
SI23,Milwaukee Bucks 1/20/2018,103138472
SI24,Chicago Bulls 1/24/2018,103138328
SI25,Miami Heat 2/2/2018,103138462
SI26,New Orleans Pelicans 2/9/2018,103138504
SI27,Los Angeles Clippers 2/10/2018,103138436
SI28,New York Knicks 2/12/2018,103138882
SI29,Miami Heat 2/14/2018,103138464
SI30,Orlando Magic 2/24/2018,103138540
SI31,Charllote Hornets 3/2/2018,103138318
SI32,Indiana Pacers 3/13/2018,103138430
SI33,Brooklyn Nets 3/16/2019,103138310
SI34,Charllote Hornets 3/19/2018,103138318
SI35,Memphis Grizzlies 3/21/2018,103138452
SI36,Minnesota Timberwolves 3/24/20,103138498
SI37,New York Knicks 3/28/2018,103138516
SI38,Brooklyn Nets 4/3/2018,103138314
SI39,Cleveland Cavaliers 4/6/2018,103138338
SI40,Dallas Mavericks 4/8/2018,103138344
SI41,Milwaukee Bucks 4/11/2018,103138344
